transaction_id,customer_id,transaction_date,online_channel,offline_store,total_online_spend_ngn,total_offline_spend_ngn,preferred_channel,cross_channel_purchases,city
XCH0000000,CUST585351,5/19/2024,Jiji,Game,98449.89,186482.4,both,1,Kano
XCH0000001,CUST515361,2/1/2024,Jumia,Computer Village,433939.34,131506.42,online,7,Abeokuta
XCH0000002,CUST206074,3/22/2024,Jumia,Slot,482478.05,134385.72,online,17,Onitsha
XCH0000003,CUST870345,9/2/2024,Jumia,Spar,136157.16,74487.79,online,14,Kano
XCH0000004,CUST916190,6/11/2024,Konga,Computer Village,334674.91,14341.16,online,13,Calabar
XCH0000005,CUST397801,1/30/2024,Slot,Spar,313907.03,41995.36,offline,15,Warri
XCH0000006,CUST139770,2/7/2024,Shoprite Online,Spar,86658.25,174265.67,online,6,Abuja
XCH0000007,CUST217770,8/20/2024,PayPorte,Ebeano,180710.31,19339.77,offline,15,Port Harcourt
XCH0000008,CUST125662,8/28/2024,Jumia,Game,67414.62,191025.98,online,19,Calabar
XCH0000009,CUST137293,3/11/2024,Spar Online,Game,344888.22,141797.86,both,18,Kano
XCH0000010,CUST433095,3/4/2024,Konga,Shoprite,97681.08,50130.69,both,5,Abeokuta
XCH0000011,CUST155418,2/10/2024,Jumia,Ebeano,63688.4,141277.47,offline,9,Abuja
XCH0000012,CUST814695,9/16/2024,Jumia,Balogun Market,110368.46,107809.99,online,16,Jos
XCH0000013,CUST842616,5/25/2024,Supermart,Justrite,98735.65,78964.69,offline,6,Abuja
XCH0000014,CUST868041,2/7/2024,Slot,Slot,219980.58,180100.88,offline,16,Aba
XCH0000015,CUST545656,2/18/2024,Konga,Mr Price,363057.95,189336.52,offline,11,Enugu
XCH0000016,CUST689926,10/2/2024,Jiji,Slot,381228.15,156479.13,online,9,Calabar
XCH0000017,CUST423075,4/20/2024,Jumia,Pointek,185814.16,85794.92,offline,18,Abuja
XCH0000018,CUST271150,7/17/2024,Jumia,Mr Price,429830.76,173016.83,both,16,Kaduna
XCH0000019,CUST775967,6/17/2024,PayPorte,Ebeano,319859.7,179927.58,offline,3,Abeokuta
XCH0000020,CUST624980,1/28/2024,Konga,Slot,115005.73,117574.11,both,9,Jos
XCH0000021,CUST856049,6/16/2024,Shoprite Online,Spar,38058.2,116693.12,both,13,Kaduna
XCH0000022,CUST811853,3/3/2024,Jiji,Mr Price,376766.66,97334.92,offline,2,Warri
XCH0000023,CUST643684,4/1/2024,Jumia,Shoprite,457232.1,115156.91,both,15,Lagos
XCH0000024,CUST369431,8/26/2024,Slot,Computer Village,67693.97,188959.46,online,3,Enugu
XCH0000025,CUST210964,3/28/2024,Jiji,Balogun Market,209419.05,19696.39,offline,4,Port Harcourt
XCH0000026,CUST960325,3/29/2024,Jumia,Slot,147947,109284.93,both,9,Warri
XCH0000027,CUST975827,8/10/2024,Konga,Mr Price,318947.79,22357.55,offline,3,Kaduna
XCH0000028,CUST831136,10/23/2024,Konga,Pointek,493092.14,11589.44,online,15,Kano
XCH0000029,CUST243540,2/15/2024,Konga,Shoprite,418111.16,55212.07,both,9,Abuja
XCH0000030,CUST390384,4/5/2024,Konga,Game,176111.79,69875.08,online,11,Port Harcourt
XCH0000031,CUST872541,9/11/2024,Konga,Pointek,58341.3,50785.19,online,19,Port Harcourt
XCH0000032,CUST678649,10/15/2024,Jiji,Ebeano,486289.06,28944.66,both,6,Benin City
XCH0000033,CUST924774,9/21/2024,Shoprite Online,Ebeano,144055.57,90323.26,offline,8,Ibadan
